,deployment_code,pi_code,process,public,country,task_done,first_version,last_version,start_date,end_date,start_date_jul,description,gts
ct134,ct134,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,02/15/0017,02/01/0017,6256,IMOS Davis ellies 2017,Y
ct135,ct135,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,01/10/0017,06/01/0017,6220,IMOS Kerguelen ellies 2017,Y
ct140,ct140,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2021-11-26,MEOP-CTD_2024-03-08,11/20/0017,NaT,6534,IMOS Kerguelen 2018,Y
ct144,ct144,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2021-11-26,MEOP-CTD_2024-03-08,10/10/0018,NaT,6858,IMOS Kerguelen 2018,Y
ct148,ct148,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2021-11-26,MEOP-CTD_2024-03-08,12/20/0018,NaT,6929,IMOS Kerguelen 2019,Y
ct150,ct150,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2021-11-26,MEOP-CTD_2024-03-08,11/20/0018,NaT,6899,NIWA Weddell Ross Sea  CTD 2019,Y
ct100,ct100,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,02/21/0013,11/30/0014,4801,IMOS CTD Campbell Island 2013,Y
ct101,ct101,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,05/22/0013,08/01/0014,4891,Oz/NZ fur seals 2013,Y
ct108,ct108,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,07/15/0014,12/31/0014,5310,Campbell Island refurbished 2014,Y
ct109,ct109,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,12/06/0014,02/03/0016,5454,IMOS Kerguelen 2014,Y
ct110,ct110,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,07/31/0014,04/01/0015,5326,Oz/NZ fur seals Montague Island  2014,Y
ct111,ct111,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,10/20/0014,NaT,5407,DdU Weddell seals 2014,Y
ct116,ct116,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,01/10/0016,07/01/0016,5854,IMOS Davis ellies 2016,Y
ct64,ct64,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,01/01/0010,12/01/0010,3654,IMOS Macca/Casey CTD 2010,Y
ct77,ct77,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,01/01/0012,11/01/0012,4384,IMOS CTD Casey 2012,Y
ct78,ct78,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,01/01/0012,11/01/0012,4384,IMOS CTD Davis 2012,Y
ct78d,ct78d,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,02/22/0011,03/01/0012,4071,IMOS CTD Davis 2011,Y
ct79,ct79,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,01/25/0012,12/01/0012,4408,IMOS CTD Campbell Island 2012,Y
ct85,ct85,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,01/27/0014,12/04/0014,5141,IMOS Scott Base 2014,Y
ct91,ct91,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,06/11/0012,01/01/0013,4546,Oz/NZ fur seals 2012,Y
ct96,ct96,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,02/05/0013,02/01/0014,4785,IMOS Kerguelen Feb 2013,Y
ct98,ct98,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,12/25/0013,12/31/0014,5108,IMOS Kerguelen Feb Mar 2014,Y
ct123,ct123,SARDI,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,12/05/0015,NaT,5818,SARDI sea lions 2015/16,Y
ct136,ct136,SARDI,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,02/20/0017,NaT,6261,SARDI sea lions 2017,Y
ct142,ct142,SARDI,1,1,AUSTRALIA,,MEOP-CTD_2021-11-26,MEOP-CTD_2024-03-08,12/04/0017,NaT,6548,SARDI sea lions 2018,Y
ct106,ct106,SARDI,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,11/22/0013,02/03/0016,5075,SARDI sea lions 2013/14,Y
ct115,ct115,SARDI,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,12/08/0014,06/01/0015,5456,SARDI sea lions 2014/15,Y
ct31,ct31,SARDI,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,04/01/0007,07/01/0007,2648,Australian sea lion CTD,N
ct61,ct61,SARDI,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,12/09/0009,06/14/0010,3631,SARDI sea lions 2009/10,Y
ct76,ct76,SARDI,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,02/06/0011,06/01/0011,4055,SARDI sea lions 2011,Y
ct86,ct86,SARDI,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,12/01/0011,03/01/0012,4353,SARDI sea lions 2011/12,Y
ft13,ft13,SARDI,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,04/03/0013,05/28/0013,4842,SARDI fluoro 2012/13,Y
ft19,ft19,SARDI,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,12/08/0014,06/01/0015,5456,SARDI fluoro 2012/13,Y
ct156,ct156,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2024-03-08,MEOP-CTD_2024-03-08,NaT,NaT,NaN,NIWA Weddell Ross Sea  CTD 2020,Y
ct157,ct157,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2024-03-08,MEOP-CTD_2024-03-08,NaT,NaT,NaN,IMOS Kerguelen 2020,Y
ct160,ct160,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2024-03-08,MEOP-CTD_2024-03-08,NaT,NaT,NaN,IMOS Kerguelen late 2020,Y
ct164,ct164,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2024-03-08,MEOP-CTD_2024-03-08,NaT,NaT,NaN,IMOS Kerguelen late 2021,Y
ct170,ct170,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2024-03-08,MEOP-CTD_2024-03-08,NaT,NaT,NaN,IMOS Kerguelen 2022,Y
ft33,ft33,HINDELL,1,1,AUSTRALIA,,MEOP-CTD_2024-03-08,MEOP-CTD_2024-03-08,NaT,NaT,NaN,Elephant seal Fluoro 2022 (10),Y
ft34,ft34,HINDELL,1,1,AUSTRALIA,,MEOP-CTD_2024-03-08,MEOP-CTD_2024-03-08,NaT,NaT,NaN,Elephant seal Fluoro 2022 (11),A
ct176,ct176,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2024-03-08,MEOP-CTD_2024-03-08,NaT,NaT,NaN,IMOS DD 2024,Y
ct22,ct22,MUELBERT,1,1,BRAZIL,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,11/01/0008,04/01/0012,3228,Elephant Island 2008/9,N
ct39,ct39,MUELBERT,1,1,BRAZIL,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,01/20/0008,12/01/0008,2942,Monica Muelbert,Y
ct46,ct46,MUELBERT,1,1,BRAZIL,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,01/01/0009,06/01/0009,3289,Monica Muelbert,Y
ct56,ct56,MUELBERT,1,1,BRAZIL,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,11/19/0009,06/01/0010,3611,Elephant Island 2010,Y
ct55,ct55,HAMMILL,1,1,CANADA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,03/21/0010,07/01/0010,3733,Bluebacks CTD 2010,Y
hd2bb,hd2bb,HAMMILL,1,1,CANADA,,MEOP-CTD_2016-07-12,MEOP-CTD_2024-03-08,03/19/0004,03/12/0005,1540,bluebacks front 2004,N
hd2f,hd2f,HAMMILL,1,1,CANADA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,03/19/0004,01/03/0005,1540,hoods front 2004,N
hd2g,hd2g,HAMMILL,1,1,CANADA,,MEOP-CTD_2016-07-12,MEOP-CTD_2024-03-08,07/24/0004,06/27/0005,1667,Hoods greenland 2004,N
hd3,hd3,HAMMILL,1,1,CANADA,,MEOP-CTD_2016-07-12,MEOP-CTD_2024-03-08,03/27/0008,06/21/0009,3009,Stenson Hoods 2008,N
hd5bb,hd5bb,HAMMI,,,,,,,2006-03-18,2006-12-09,,bluebacks front 2006,N
ct21,ct21,AWI,1,0,UNKNOWN,,,,2007-03-24,2007-12-31,,AWI CTD 2006,N
ct32,ct32,NPOLAR,1,0,UNKNOWN,,,,2007-07-14,2008-06-01,,MEOP CTD (hoods),Y
ct30,ct30,COSTA,1,0,UNKNOWN,,,,2007-05-30,2008-01-31,,Costa CTD rep,Y
ct27x,ct27x,NICHOLLS,1,0,UNKNOWN,,,,2007-02-27,2008-01-01,,Ellie 2007,N
ct29,ct29,COSTA,1,0,UNKNOWN,,,,2007-04-21,2008-08-01,,Costa CTD Q145,Y
ct25,ct25,COSTA,1,0,UNKNOWN,,,,2007-01-01,2008-01-01,,Cape Shirreff CTD 2007,N
ct26,ct26,XTOPHE,1,0,UNKNOWN,,,,2007-02-12,2016-03-11,,Extra CTD 2007,N
ct23,ct23,XTOPHE,1,0,UNKNOWN,,,,2006-12-01,2008-01-05,,Kerguelen 2007,N
ct33,ct33,BESTER,1,0,UNKNOWN,,,,2008-01-07,2008-11-06,,Marion CTD 2007,Y
ct34,ct34,NPOLAR,1,0,UNKNOWN,,,,2008-01-01,2009-01-01,,MEOP CTD (ellies),Y
ct35,ct35,AWI,1,0,UNKNOWN,,,,2007-10-26,2008-03-01,,AWI Marion CTD late 2007,Y
ct38e,ct38e,XTOPHE,1,0,UNKNOWN,,,,2007-12-20,2008-10-01,,Kerguelen ellies,Y
ct42,ct42,AWI,1,0,UNKNOWN,,,,2008-04-02,2008-08-01,,Marion CTD 2008,Y
ct41,ct41,COSTA,1,0,UNKNOWN,,,,2008-02-01,2009-04-01,,Costa northern ellie CTD,N
ct32x,ct32x,NPOLAR,1,0,UNKNOWN,,,,2008-03-21,2009-06-01,,MEOP CTD (hoods),Y
ct43,ct43,NICHOLLS,1,0,UNKNOWN,,,,2009-02-05,2009-12-01,,BAS CTD 2009,N
ct131,ct131,XTOPHE,1,0,UNKNOWN,,,,2016-10-20,2017-02-28,,Kerguelen refurbished 2016,Y
ct23x,ct23x,XTOPHE,1,0,UNKNOWN,,,,2008-12-01,2009-09-01,,Kerguelen rebatteried CTD,N
ct44,ct44,AWI,1,0,UNKNOWN,,,,2008-11-10,2009-07-01,,AWI Neumayer CTD 2008,N
ct45,ct45,FEDAK,1,0,UNKNOWN,,,,2008-10-10,2009-12-01,,Lars short deployment,Y
ft02,ft02,XTOPHE,1,0,UNKNOWN,,,,2008-12-18,2009-10-01,,Fluoro early 2009,Y
ct35x,ct35x,AWI,1,0,UNKNOWN,,,,2008-11-02,2009-03-01,,AWI Marion CTD late 2008,Y
ct35b,ct35b,AWI,1,0,UNKNOWN,,,,2008-02-10,2008-09-01,,AWI Marion CTD early 2008,Y
ct48,ct48,COSTA,1,0,UNKNOWN,,,,2009-01-18,2009-12-25,,Cape Shirreff CTD 2009,Y
ct49,ct49,FEDAK,1,0,UNKNOWN,,,,2009-01-28,2010-01-20,,South Georgia 2009,Y
ct1,ct1,FEDAK,1,0,UNKNOWN,,,,2004-01-29,2005-10-08,,South Georgia 2004,N
ct8,ct8,FEDAK,1,0,UNKNOWN,,,,2005-01-10,2006-02-01,,South Georgia 2005,Y
ct50,ct50,AWI,1,0,UNKNOWN,,,,2009-02-09,2009-12-01,,Marion CTD 2009,Y
ct51,ct51,COSTA,1,0,UNKNOWN,,,,2009-02-18,2009-06-01,,Northern ellie CTD 2009,Y
wd09,wd09,UNKNOWN,1,0,UNKNOWN,,,,2017-02-18,2019-08-02,,Weddell seals CTD 2017,Y
NW02,NW02,GRONLAND,1,0,UNKNOWN,,,,2017-04-05,,,Narwhal CTD 2017,Y
ft03,ft03,XTOPHE,1,0,UNKNOWN,,,,2009-10-01,2010-04-01,,Fluoro late 2009,Y
ct52,ct52,NPOLAR,1,0,UNKNOWN,,,,2009-09-01,2010-07-30,,Harbour seal CTD 2009,Y
ct53,ct53,COSTA,1,0,UNKNOWN,,,,2009-05-01,2010-01-30,,Northern ellie CTD 2009,Y
ct54,ct54,AWI,1,0,UNKNOWN,,,,2010-03-18,2011-04-21,,CTD 2010,Y
ct57,ct57,GOEBEL,1,0,UNKNOWN,,,,2010-02-20,2011-09-01,,AMLR Leopard/Weddell seals CTD 2010,Y
ct58,ct58,FEDAK,1,0,UNKNOWN,,,,2009-10-20,2010-07-01,,SMRU South Georgia 2010,Y
ct59,ct59,SPRINGER,1,0,UNKNOWN,,,,2009-10-21,2010-05-30,,Alan Springer Alaska,Y
ct62,ct62,XTOPHE,1,0,UNKNOWN,,,,2010-02-01,2018-01-01,,Kerguelen ellies,Y
ft04,ft04,XTOPHE,1,0,UNKNOWN,,,,2010-02-08,2018-01-01,,Fluoro 2010,Y
ct133,ct133,GAO,1,0,UNKNOWN,,,,2017-02-01,2023-06-01,,Southern ellie/Weddell CTD 2017,Y
ct65,ct65,FEDAK,1,0,UNKNOWN,,,,2010-02-24,2011-01-01,,SMRU Falklands 2010,Y
ct67,ct67,COSTA,1,0,UNKNOWN,,,,2010-03-22,2010-08-01,,Northern ellie CTD 2010,Y
ct69,ct69,NPOLAR,1,0,UNKNOWN,,,,2010-08-23,2011-08-01,,Harbour seal CTD 2010,Y
ct68,ct68,AWI,1,0,UNKNOWN,,,,2010-01-10,2010-05-01,,Marion CTD 2010,Y
ft05,ft05,NPOLAR,1,0,UNKNOWN,,,,2010-07-18,2011-03-16,,Norsk Polar Ringed seals Fluoro  2010,Y
ct70,ct70,NICHOLLS,1,0,UNKNOWN,,,,2011-02-06,2011-12-09,,BAS CTD 2011,Y
ct71,ct71,HOLLAND,1,0,UNKNOWN,,,,2010-08-31,2012-06-01,,Ringed seal CTD 2010,Y
ft06,ft06,XTOPHE,1,0,UNKNOWN,,,,2010-09-05,2011-02-10,,Fluoro 2010 bis,Y
ct73,ct73,AWI,1,0,UNKNOWN,,,,2011-01-15,2012-01-01,,AWI Marion CTD 2011,Y
DL02,DL02,UNKNOWN,1,0,UNKNOWN,,,,2018-10-01,,,Beluga CTD/SRDL 2016,Y
BM02,BM02,AFGAME,1,0,UNKNOWN,,,,2017-08-16,,,Bowhead Alaska 2017,N
ct138,ct138,NPOLAR,1,0,UNKNOWN,,,,2017-08-10,2018-06-01,,Ringed seal GPS/CTD 2017,Y
rs31,rs31,HOLLAND,1,0,UNKNOWN,,,,2017-07-15,,,Ringed seal GPS/CTD 2017,Y
ct139,ct139,XTOPHE,1,0,UNKNOWN,,,,2017-10-01,2019-06-11,,Kerguelen 2017,Y
rs32,rs32,AQQALU,1,0,UNKNOWN,,,,2017-08-20,2018-05-01,,Ringed seal 2017,Y
ct141,ct141,NPOLAR,1,0,UNKNOWN,,,,2017-12-22,2018-12-30,,Bouvet ellies 2018,Y
wd10,wd10,UNKNOWN,1,0,UNKNOWN,,,,2017-11-08,2018-01-01,,Weddell seals CTD 2018,Y
ft21,ft21,COSTA,1,0,UNKNOWN,,,,2018-02-01,2018-05-15,,Fluoro 2018,Y
hd08,hd08,UNKNOWN,1,0,UNKNOWN,,,,2018-03-07,2018-09-01,,Hooded seal 2018,Y
ct143,ct143,GOEBEL,1,0,UNKNOWN,,,,2018-04-20,2024-10-15,,AMLR Weddell seals CTD 2018,Y
ct145,ct145,COSTA,1,0,UNKNOWN,,,,2018-06-01,2024-10-15,,Refurb CTD 2018,Y
ct146,ct146,SANDRA,1,0,UNKNOWN,,,,2018-07-01,2019-11-05,,CTD 2018,Y
BM03,BM03,AFGAME,1,0,UNKNOWN,,,,2018-09-01,2024-10-15,,Bowhead Alaska 2018,N
ft14,ft14,XTOPHE,1,0,UNKNOWN,,,,2013-10-28,2014-02-01,,Rebatteried fluoro 2013,Y
ct147,ct147,LARS,1,0,UNKNOWN,,,,2019-02-10,2019-12-20,,TARSAN CTD 2018,Y
rs34,rs34,HOLLAND,1,0,UNKNOWN,,,,2018-07-25,2020-04-20,,Ringed seal GPS/CTD 2018,Y
ft22,ft22,XTOPHE,1,0,UNKNOWN,,,,2018-10-16,2019-08-19,,Fluoro 2018,Y
ft23,ft23,XTOPHE,1,0,UNKNOWN,,,,2018-10-20,2019-03-01,,Peninsula Valdes 2018,Y
ft07,ft07,XTOPHE,1,0,UNKNOWN,,,,2011-01-21,2015-07-10,,Fluoro 2011,Y
ct80,ct80,OHSHIMA,1,0,UNKNOWN,,,,2011-02-16,2014-08-01,,Keiichiro Ohshima CTD,Y
ft09,ft09,COSTA,1,0,UNKNOWN,,,,2011-06-04,2012-01-01,,Sam/Luis fluoro tests,Y
ct81,ct81,NPOLAR,1,0,UNKNOWN,,,,2011-07-19,2012-06-10,,Bearded seal CTD/GPS 2011,Y
ft10,ft10,XTOPHE,1,0,UNKNOWN,,,,2011-10-02,2012-03-01,,Fluoro 2011 bis,Y
ct82,ct82,XTOPHE,1,0,UNKNOWN,,,,2011-10-10,2012-03-31,,Kerguelen ellies,Y
ct83,ct83,GOEBEL,1,0,UNKNOWN,,,,2014-03-03,2014-06-24,,AMLR Weddell seals CTD 2014,Y
ct89,ct89,BLOCK,1,0,UNKNOWN,,,,2012-02-15,2013-01-10,,Northern ellie CTD 2012,Y
ct84,ct84,XTOPHE,1,0,UNKNOWN,,,,2011-10-10,2016-03-14,,Kerguelen ellies Feb 2012 refurbished,N
ct27,ct27,NICHOLLS,1,0,UNKNOWN,,,,2007-02-11,2008-01-01,,Weddell seals 2007,N
ct87,ct87,AWI,1,0,UNKNOWN,,,,2012-04-25,2013-03-01,,AWI Marion CTD 2012,Y
ft01,ft01,XTOPHE,1,0,UNKNOWN,,,,2007-12-18,2008-08-01,,Fluoro prototypes 2008,Y
ct88,ct88,COSTA,1,0,UNKNOWN,,,,2012-01-23,2012-12-30,,Weddell Seal CTD Jan 2012,Y
ft11,ft11,XTOPHE,1,0,UNKNOWN,,,,2012-02-05,2015-04-02,,Fluoro 2012 rebatteried,N
ft08,ft08,NPOLAR,1,0,UNKNOWN,,,,2011-07-18,2012-03-01,,Norsk Polar Ringed seals Fluoro  2011,Y
ct90,ct90,BESTER,1,0,UNKNOWN,,,,2012-10-31,2013-02-01,,Marion refurb CTD Oct 2012,Y
ct28,ct28,COSTA,1,0,UNKNOWN,,,,2007-02-23,2008-06-01,,Other CTD 2007,N
ct18,ct18,STENSON,1,0,UNKNOWN,,,,2007-07-01,2009-11-01,,Hoods Greenland CTD 2007,N
ct37,ct37,COSTA,1,0,UNKNOWN,,,,2007-08-28,2013-01-01,,Costa southern ellie CTD,Y
ct63,ct63,COSTA,1,0,UNKNOWN,,,,2010-01-01,2011-01-01,,Weddell Seal CTD 2010,Y
ct74,ct74,COSTA,1,0,UNKNOWN,,,,2011-01-21,2011-12-16,,Weddell Seal CTD Nov 2010,Y
NW01,NW01,GRONLAND,1,0,UNKNOWN,,,,2016-08-24,2017-03-01,,Narwhal CTD 2016,Y
ct40,ct40,FEDAK,1,0,UNKNOWN,,,,2008-01-25,2009-01-01,,Lars,Y
ct92,ct92,NPOLAR,1,0,UNKNOWN,,,,2012-08-14,2016-03-14,,Bearded seal GPS/CTD 2012,Y
ct93,ct93,NPOLAR,1,0,UNKNOWN,,,,2012-07-29,2013-06-01,,Ringed seal CTD 2012,Y
ct94,ct94,NPOLAR,1,0,UNKNOWN,,,,2012-08-15,2013-06-01,,Ringed seal GPS/CTD 2012,Y
BM01,BM01,AFGAME,1,0,UNKNOWN,,,,2012-09-22,2012-11-01,,Bowhead Alaska 2012,N
rs14,rs14,HOLLAND,1,0,UNKNOWN,,,,2012-09-14,2013-04-01,,Ringed seal GPS/CTD 2012,Y
rs15,rs15,HOLLAND,1,0,UNKNOWN,,,,2012-08-28,2014-12-01,,Ringed seal CTD 2012,Y
ct112,ct112,XTOPHE,1,0,UNKNOWN,,,,2014-10-19,2015-02-01,,Kerguelen continuous sampling 2014,Y
ft12,ft12,XTOPHE,1,0,UNKNOWN,,,,2012-10-01,2016-02-03,,Fluoro 2012,Y
hg37,hg37,NINA,1,0,UNKNOWN,,,,2012-10-10,2013-03-01,,Tromso Hg CTD 2012,Y
hg37g,hg37g,NINA,1,0,UNKNOWN,,,,2012-10-22,2013-11-01,,Tromso Hg CTD/GSM 2012,Y
ct97,ct97,XTOPHE,1,0,UNKNOWN,,,,2013-01-27,,,Photometer trial,N
ct99,ct99,AWI,1,0,UNKNOWN,,,,2013-01-23,2015-05-25,,AWI Marion CTD 2013,N
eb04,eb04,AFGAME,1,0,UN,,,,2016-06-30,2020-06-01,,Bearded/spotted seals CTD 2016/7,Y
ct102,ct102,AWI,1,0,UNKNOWN,,,,2013-11-05,2014-06-10,,Southern ellie CTD 2014,Y
wd06,wd06,AWI,1,0,UNKNOWN,,,,2014-01-20,2014-11-30,,Weddell seals CTD 2014,Y
ft18,ft18,XTOPHE,1,0,UNKNOWN,,,,2014-06-04,2017-01-01,,Rebatteried tags 2014,N
rs17,rs17,HOLLAND,1,0,UNKNOWN,,,,2013-08-01,2014-06-01,,Ringed seal CTD 2013,Y
ft15,ft15,IPHC,1,0,UNKNOWN,,,,2013-07-31,2014-02-14,,Green turtle 2013,N
NP02,NP02,NPOLAR,1,0,UNKNOWN,,,,2013-08-23,2013-12-01,,Beluga CTD 2013,Y
ct103,ct103,NPOLAR,1,0,UNKNOWN,,,,2013-07-11,2021-01-21,,Bearded seal GPS/CTD in storage,Y
rs19,rs19,HOLLAND,1,0,UNKNOWN,,,,2013-08-01,2014-07-01,,Ringed seal GPS/CTD 2013,Y
hg42,hg42,NINA,1,0,UNKNOWN,,,,2015-09-12,2019-03-25,,Tromso Hg CTD/GSM 2013,Y
ct104,ct104,SMRU,1,0,UNKNOWN,,,,2014-02-08,2015-01-27,,iStar Weddell/S Ellie CTD 2014,Y
ct105,ct105,GAO,1,0,UNKNOWN,,,,2013-12-01,2014-09-20,,Southern ellie/Weddell CTD 2014,Y
ct107,ct107,COSTA,1,0,UNKNOWN,,,,2014-01-25,2015-11-03,,Costa northern ellie CTD 2014,Y
ct129,ct129,COSTA,1,0,UNKNOWN,,,,2016-05-16,2018-08-01,,Refurb northern ellie CTD 2016b,Y
ft17,ft17,IPHC,1,0,UNKNOWN,,,,2014-03-28,2015-09-01,,Green turtle 2014,N
rs22,rs22,HOLLAND,1,0,UNKNOWN,,,,2014-08-01,2015-05-01,,Ringed seal CTD 2014,Y
rs23,rs23,HOLLAND,1,0,UNKNOWN,,,,2014-07-06,2016-05-10,,Ringed seal GPS/CTD 2014/5,Y
ct20,ct20,NMML,1,0,UNKNOWN,,,,2006-10-03,2007-10-01,,Bearded seals 2006,Y
ct113,ct113,AWI,1,0,UNKNOWN,,,,2016-01-16,,,Weddell seal  refurb CTD 2014,Y
bv3,bv3,NPOLAR,1,0,UNKNOWN,,,,2015-01-10,2015-12-01,,Bouvet ellies 2014,Y
ct114,ct114,COSTA,1,0,UNKNOWN,,,,2015-02-15,2018-12-01,,Costa northern ellie CTD 2015,Y
ct117,ct117,XTOPHE,1,0,UNKNOWN,,,,2015-01-06,2019-05-22,,Kerguelen CTD/Acc 2015,Y
wd07,wd07,AWI,1,0,UNKNOWN,,,,2016-01-20,2024-10-15,,Weddell seals CTD 2015,Y
ct3,ct3,XTOPHE,1,0,UNKNOWN,,,,2004-02-08,2018-01-01,,Kerguelen 2004,N
ct7,ct7,XTOPHE,1,0,UNKNOWN,,,,2005-01-18,2018-01-01,,Kerguelen 2005,N
ct11,ct11,IMOS,1,0,UNKNOWN,,,,2005-08-10,2005-12-17,,Kerguelen replacements 2005,N
