smru_platform_code,T1,T2,S1,S2,remove,Sremove,comment
ct140-174-15,0,-0.05,0,0.1,0,0,no comment
ct140-175-15,0,0,0,0.05,0,0,no comment
ct140-176-15,0,0,0,-0.05,0,0,no comment
ct140-177-15,0,0.1,0.05,-0.075,0,0,no comment
ct140-178-15,0,0,0,0,0,0,no comment
ct140-179-15,0,0,0.05,0.15,0,0,no comment
ct140-188-15,0,0,0.05,0.05,0,0,no comment
ct140-189-15,0,0,0,0,1,0,no comment
ct140-635BAT-13,0,0,0,-0.025,0,0,no comment
ct140-690BAT-13,0,0,0,-0.02,0,0,no comment
ct140-695BAT-13,0,0,0,-0.025,0,0,no comment
ct140-699BAT-13,0,0,0,0,0,0,no comment
ct140-700BAT-13,0,0,0.05,-0.17,0,0,no comment
ct140-956BAT-14,0,0,0,0,0,0,no comment
ct141-640AM-17,0,0,0,0,0,0,no comment
ct141-641AF-17,0,0,0,0,1,0,no comment
ct141-642AM-17,0,0,0,0.2,0,0,no comment
ct141-643AM-17,0,0,0,0.2,0,0,no comment
ct141-645SM-17,0,0,0,0.2,0,0,no comment
ct141-646SM-17,0,0,0,-0.01,0,0,no comment
ct141-647AF-17,0,0,0,-0.01,0,0,no comment
ct141-663AF-17,0,0,0,0.02,0,0,no comment
ct141-664SM-17,0,0,0,0.01,0,0,no comment
ct141-665AF-17,0,0,0,0.25,0,0,no comment
ct141-668AF-17,0,0,0,0.2,0,0,no comment
ct141-669AM-17,0,0,0,0.16,0,0,no comment
ct141-671AF-17,0,0,0,-0.01,0,0,no comment
ct141-672AF-17,0,0,0,0.2,0,0,no comment
ct141-673AF-17,0,0,0,0.02,0,0,no comment
ct142-1-17,0,0,0,0,0,0,no comment
ct142-2-17,0,0,0,0,1,0,no comment
ct142-3-17,0,0,0,0,0,0,no comment
ct143-666-18,0,0,0,0,0,0,no comment
ct143-667-18,0,0,0,0,0,0,no comment
ct144-084BAT2-14,0,0,0,0,0,1,no comment
ct144-186BAT2-14,0,0,0,0.1,0,0,no comment
ct144-190BAT2-14,0,0,0,0.1,0,0,no comment
ct144-278BAT-14,0,0,0.03,0.07,0,0,no comment
ct144-298BAT-14,0,0,0,0.03,0,0,no comment
ct144-331BAT2-16,0,0,0,-0.04,0,0,no comment
ct144-622BAT-17,0,0,0,0.14,0,0,no comment
ct144-624BAT-17,0,0,0,-0.03,0,0,no comment
ct144-800-18,0,0,0,-0.07,0,0,no comment
ct144-801-18,0,0,0,0,0,0,no comment
ct144-802-18,0,0,0,0.05,0,0,no comment
ct144-939BAT2-14,0,0,0,0,0,0,no comment
ct144-965BAT2-14,0,0,0,-0.02,0,0,no comment
ct144-F620BAT-17,0,0,0,0.15,0,0,no comment
ct144-F932BAT2-13,0,0,0,0.25,0,0,no comment
ct145-227-BAT2-12,0,0,0,-0.01,0,0,no comment
ct145-231-BAT2-14,0,0,0,0.1,0,0,no comment
ct145-235-BAT-14,0,0,0,0.18,0,0,no comment
ct145-269-BAT-18,0,0,0,0,1,0,no comment
ct145-366-BAT2-15,0,0,0,0.05,0,0,no comment
ct145-367-BAT2-15,0,0,0,0.05,0,0,no comment
ct145-423-BAT-18,0,0,0,0.02,0,0,no comment
ct145-427-BAT-10,0,0,0,0.01,0,0,no comment
ct145-428-BAT-18,0,0,0,0.12,0,0,no comment
ct145-675-BAT-18,0,0,0,-0.3,0,0,no comment
ct145-767-18,0,0,0,0,0,0,no comment
ct145-933-BAT2-18,0,0,0,0.03,1,0,no comment
