deployment_code,temp_error,psal_error,minT,maxT,minS,maxS,min_Nprof,pmax,pmax_fluo,is_lon_center_180
ct87,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct88,0.1,0.2,-3,32,4,40,30,1000,100,1
ct89,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct9,0.2,0.2,-3,32,25,40,30,NaN,NaN,NaN
ct90,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct91,0.1,0.2,-3,32,4,40,30,400,100,0
ct92,0.1,0.1,-3,32,4,40,30,400,100,0
ct93,0.1,0.1,-3,32,4,40,30,400,100,0
ct94,0.1,0.1,-3,32,4,40,30,400,100,0
ct95,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct96,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct97,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct98,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct99,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
eb03,0.1,0.2,-3,32,4,40,30,100,100,0
eb04,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ft01,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ft02,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ft03,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ft04,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ft05,0.1,0.2,-3,32,4,40,30,500,100,0
ft06,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ft07,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ft08,0.1,0.2,-3,32,4,40,30,400,200,0
ft09,0.05,0.1,-2.5,20,25,40,30,NaN,NaN,NaN
ft10,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ft11,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ft12,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
